time_s,deco_stop,o2,depth_m,temp_c,avg_ppo2,tts_min,ndl_min,he
10,0,21,1.6,26.0,0.24,1,0,0
20,0,21,2.2,26.0,0.25,1,99,0
30,0,21,2.3,26.0,0.26,1,99,0
40,0,21,3.3,26.0,0.28,1,99,0
50,0,21,5.4,26.0,0.32,1,99,0
60,0,21,7.4,26.0,0.36,1,99,0
70,0,21,9.4,26.0,0.4,1,99,0
80,0,21,10.7,26.0,0.43,1,99,0
90,0,21,12.6,26.0,0.47,5,99,0
100,0,21,13.3,26.0,0.49,5,88,0
110,0,21,13.6,26.0,0.49,5,90,0
120,0,21,14.1,26.0,0.5,5,77,0
130,0,21,14.8,26.0,0.52,5,71,0
140,0,21,15.5,26.0,0.53,5,62,0
150,0,21,16.3,26.0,0.55,5,58,0
160,0,21,17.0,26.0,0.56,5,49,0
170,0,21,17.4,26.0,0.57,5,46,0
180,0,21,18.2,26.0,0.59,5,41,0
190,0,21,18.3,26.0,0.59,5,40,0
200,0,21,18.0,26.0,0.58,5,40,0
210,0,21,18.2,26.0,0.59,5,41,0
220,0,21,17.8,26.0,0.58,5,41,0
230,0,21,17.6,26.0,0.57,5,42,0
240,0,21,17.6,26.0,0.58,5,44,0
250,0,21,17.9,26.0,0.58,5,43,0
260,0,21,17.8,26.0,0.58,5,40,0
270,0,21,17.8,26.0,0.58,5,42,0
280,0,21,18.6,26.0,0.59,5,38,0
290,0,21,18.7,26.0,0.6,5,37,0
300,0,21,18.7,26.0,0.6,5,37,0
310,0,21,18.8,26.0,0.6,5,36,0
320,0,21,18.7,26.0,0.6,5,35,0
330,0,21,18.8,26.0,0.6,5,36,0
340,0,21,19.0,26.0,0.6,5,34,0
350,0,21,18.2,26.0,0.59,5,34,0
360,0,21,18.0,26.0,0.58,5,36,0
370,0,21,18.2,25.0,0.59,5,38,0
380,0,21,18.4,25.0,0.59,5,38,0
390,0,21,18.5,25.0,0.59,5,36,0
400,0,21,18.1,26.0,0.59,5,36,0
410,0,21,18.1,25.0,0.59,5,36,0
420,0,21,18.4,25.0,0.59,5,36,0
