time_s,deco_stop,o2,depth_m,temp_c,avg_ppo2,tts_min,ndl_min,he
10,0,21,0.0,18.0,0.23,0,0,0
20,0,21,2.0,18.0,0.25,1,99,0
30,0,21,3.0,17.0,0.27,1,99,0
40,0,21,4.4,17.0,0.3,1,99,0
50,0,21,5.2,17.0,0.32,1,99,0
60,0,21,6.0,17.0,0.33,1,99,0
70,0,21,6.5,16.0,0.35,1,99,0
80,0,21,7.5,16.0,0.36,1,99,0
90,0,21,8.2,15.0,0.38,1,99,0
100,0,21,8.9,15.0,0.39,1,99,0
110,0,21,9.7,15.0,0.41,1,99,0
120,0,21,10.2,14.0,0.42,1,99,0
130,0,21,8.8,14.0,0.39,1,99,0
140,0,21,9.4,14.0,0.4,1,99,0
150,0,21,8.8,14.0,0.4,1,99,0
160,0,21,6.6,13.0,0.35,1,99,0
170,0,21,4.8,13.0,0.31,1,99,0
180,0,21,2.6,13.0,0.27,1,99,0
190,0,21,0.0,14.0,0.21,1,99,0
200,0,21,0.0,14.0,0.21,0,99,0
210,0,21,0.0,14.0,0.22,0,99,0
220,0,21,0.0,15.0,0.22,0,99,0
230,0,21,0.0,15.0,0.21,0,99,0
240,0,21,0.0,15.0,0.22,0,99,0
