time_s,deco_stop,o2,depth_m,temp_c,avg_ppo2,tts_min,ndl_min,he
10,0,21,1.01,13.3,0.23,0,99,0
20,0,21,2.44,13.3,0.26,1,99,0
30,0,21,4.21,13.3,0.3,1,99,0
40,0,21,5.55,13.3,0.32,1,99,0
50,0,21,5.97,13.3,0.33,1,99,0
60,0,21,6.77,13.3,0.35,1,99,0
70,0,21,7.32,13.3,0.36,1,99,0
80,0,21,8.32,13.3,0.38,1,99,0
90,0,21,9.33,13.3,0.4,1,99,0
100,0,21,10.64,13.3,0.43,1,99,0
110,0,21,11.16,12.8,0.44,5,99,0
120,0,21,11.49,12.8,0.45,5,99,0
130,0,21,11.67,12.8,0.45,5,99,0
140,0,21,11.61,12.8,0.45,5,99,0
150,0,21,11.4,12.8,0.45,5,99,0
160,0,21,11.34,12.8,0.45,5,99,0
170,0,21,11.67,12.8,0.45,5,99,0
180,0,21,11.61,12.8,0.45,5,99,0
190,0,21,11.58,12.8,0.45,5,99,0
200,0,21,11.8,12.8,0.45,5,99,0
210,0,21,12.22,12.8,0.46,5,99,0
220,0,21,11.98,12.8,0.46,5,99,0
230,0,21,11.89,12.8,0.46,5,99,0
240,0,21,12.13,12.8,0.46,5,99,0
250,0,21,12.22,12.8,0.46,5,99,0
260,0,21,12.31,12.8,0.47,5,99,0
270,0,21,12.56,12.8,0.47,5,96,0
280,0,21,12.65,12.8,0.47,5,87,0
290,0,21,12.13,12.8,0.46,5,99,0
300,0,21,11.77,12.8,0.45,5,99,0
310,0,21,12.19,12.8,0.46,5,99,0
320,0,21,12.47,12.8,0.47,5,99,0
330,0,21,12.31,12.8,0.47,5,96,0
340,0,21,12.31,12.8,0.47,5,95,0
350,0,21,12.41,12.8,0.47,5,92,0
360,0,21,12.47,12.8,0.47,5,90,0
370,0,21,12.28,12.8,0.47,5,96,0
380,0,21,12.31,12.8,0.47,5,96,0
390,0,21,12.31,12.8,0.47,5,97,0
400,0,21,12.22,12.8,0.46,5,95,0
410,0,21,12.22,12.8,0.46,5,98,0
420,0,21,11.89,12.8,0.46,5,96,0
430,0,21,11.8,12.8,0.45,5,99,0
440,0,21,12.1,12.8,0.46,5,99,0
450,0,21,12.53,12.8,0.47,5,99,0
460,0,21,12.59,12.8,0.47,5,91,0
470,0,21,12.5,12.8,0.47,5,86,0
480,0,21,12.47,12.8,0.47,5,86,0
490,0,21,12.34,12.8,0.47,5,91,0
500,0,21,12.31,12.8,0.47,5,91,0
510,0,21,12.13,12.8,0.46,5,95,0
520,0,21,12.22,12.8,0.46,5,98,0
530,0,21,12.07,12.8,0.46,5,98,0
540,0,21,12.34,12.8,0.47,5,92,0
550,0,21,12.07,12.8,0.46,5,94,0
560,0,21,11.86,12.8,0.46,5,99,0
570,0,21,12.04,12.8,0.46,5,99,0
580,0,21,12.37,12.8,0.47,5,93,0
590,0,21,12.53,12.8,0.47,5,86,0
600,0,21,12.41,12.8,0.47,5,91,0
610,0,21,12.34,12.2,0.47,5,88,0
620,0,21,12.37,12.2,0.47,5,92,0
630,0,21,12.34,12.2,0.47,5,86,0
640,0,21,11.77,12.2,0.45,5,99,0
650,0,21,11.86,12.2,0.46,5,99,0
660,0,21,12.62,12.2,0.47,5,86,0
670,0,21,12.83,12.2,0.48,5,78,0
680,0,21,13.17,12.2,0.48,5,74,0
690,0,21,12.74,12.2,0.48,5,78,0
700,0,21,12.47,12.2,0.47,5,85,0
710,0,21,12.77,12.2,0.48,5,80,0
720,0,21,12.47,12.2,0.47,5,85,0
730,0,21,12.77,12.2,0.48,5,77,0
740,0,21,12.86,12.2,0.48,5,76,0
750,0,21,12.83,12.2,0.48,5,77,0
760,0,21,12.77,12.2,0.48,5,77,0
770,0,21,12.8,12.2,0.48,5,79,0
780,0,21,12.59,12.2,0.47,5,81,0
790,0,21,12.89,12.2,0.48,5,78,0
800,0,21,12.68,12.2,0.47,5,79,0
810,0,21,12.62,12.2,0.47,5,79,0
820,0,21,12.37,12.2,0.47,5,88,0
830,0,21,12.01,12.2,0.46,5,86,0
840,0,21,11.58,12.2,0.45,5,99,0
850,0,21,11.34,12.2,0.45,5,99,0
860,0,21,11.64,12.2,0.45,5,99,0
870,0,21,11.13,12.2,0.44,5,99,0
880,0,21,11.16,12.2,0.44,5,99,0
890,0,21,11.55,12.2,0.45,5,99,0
900,0,21,11.61,12.2,0.45,5,99,0
910,0,21,11.64,12.2,0.45,5,99,0
920,0,21,12.1,12.2,0.46,5,98,0
930,0,21,12.25,12.2,0.46,5,91,0
940,0,21,12.41,12.2,0.47,5,83,0
950,0,21,12.41,12.2,0.47,5,83,0
960,0,21,12.13,12.2,0.46,5,96,0
970,0,21,12.31,12.2,0.46,5,90,0
980,0,21,12.95,12.2,0.48,5,77,0
990,0,21,13.01,12.2,0.48,5,70,0
1000,0,21,13.01,12.2,0.48,5,70,0
1010,0,21,12.89,12.2,0.48,5,69,0
1020,0,21,12.71,12.2,0.48,5,72,0
1030,0,21,12.37,12.2,0.47,5,77,0
1040,0,21,12.01,12.2,0.46,5,82,0
1050,0,21,11.58,12.2,0.45,5,98,0
1060,0,21,11.34,12.2,0.45,5,99,0
1070,0,21,10.91,12.2,0.44,5,99,0
1080,0,21,10.7,12.2,0.43,5,99,0
1090,0,21,10.24,12.2,0.42,4,99,0
1100,0,21,10.27,12.2,0.43,4,99,0
1110,0,21,10.12,12.2,0.42,4,99,0
1120,0,21,9.72,12.2,0.41,4,99,0
1130,0,21,10.15,12.2,0.42,4,99,0
1140,0,21,9.88,12.2,0.42,4,99,0
1150,0,21,9.57,12.2,0.41,4,99,0
1160,0,21,9.57,12.8,0.41,4,99,0
1170,0,21,8.63,12.2,0.39,4,99,0
1180,0,21,7.99,12.8,0.38,4,99,0
1190,0,21,8.29,12.8,0.38,4,99,0
1200,0,21,8.63,12.8,0.39,4,99,0
1210,0,21,8.47,12.8,0.39,4,99,0
1220,0,21,8.11,12.8,0.38,4,99,0
1230,0,21,7.89,12.8,0.37,4,99,0
1240,0,21,7.68,12.8,0.37,4,99,0
1250,0,21,7.22,12.8,0.36,4,99,0
1260,0,21,6.8,12.8,0.35,4,99,0
1270,0,21,5.39,12.8,0.33,4,99,0
1280,0,21,5.39,12.8,0.32,4,99,0
1290,0,21,6.46,12.8,0.34,4,99,0
1300,0,21,6.74,12.8,0.35,4,99,0
1310,0,21,6.86,12.8,0.35,3,99,0
1320,0,21,6.43,12.8,0.34,3,99,0
1330,0,21,5.91,12.8,0.33,3,99,0
1340,0,21,5.55,12.8,0.33,3,99,0
1350,0,21,4.79,12.8,0.31,3,99,0
1360,0,21,4.18,12.8,0.3,2,99,0
1370,0,21,0.0,12.8,0.22,2,99,0
1380,0,21,0.0,12.8,0.22,2,99,0
1390,0,21,0.0,12.8,0.21,2,99,0
1400,0,21,0.0,12.8,0.22,2,99,0
