time_s,deco_stop,o2,depth_m,temp_c,avg_ppo2,tts_min,ndl_min,he
10,0,21,1.28,13.9,0.23,1,99,0
20,0,21,2.23,13.9,0.25,1,99,0
30,0,21,3.2,13.9,0.28,1,99,0
40,0,21,3.57,13.9,0.28,1,99,0
50,0,21,3.6,13.9,0.29,1,99,0
60,0,21,3.32,13.9,0.28,1,99,0
70,0,21,2.74,13.9,0.27,1,99,0
80,0,21,3.2,13.9,0.28,1,99,0
90,0,21,3.6,13.9,0.28,1,99,0
100,0,21,3.84,13.9,0.29,1,99,0
110,0,21,3.78,13.9,0.29,1,99,0
120,0,21,3.23,13.9,0.28,1,99,0
130,0,21,2.74,13.9,0.27,1,99,0
140,0,21,1.89,13.3,0.25,1,99,0
150,0,21,0.0,13.3,0.22,0,99,0
160,0,21,0.0,13.3,0.21,0,99,0
170,0,21,0.0,13.3,0.21,0,99,0
180,0,21,0.0,13.9,0.22,0,99,0
190,0,21,0.0,13.9,0.21,0,99,0
200,0,21,0.0,13.9,0.21,0,99,0
