time_s,deco_stop,o2,depth_m,temp_c,avg_ppo2,tts_min,ndl_min,he
10,0,21,1.0,9.0,0.23,1,99,0
20,0,21,2.7,9.0,0.26,1,99,0
30,0,21,3.9,9.0,0.29,1,99,0
40,0,21,5.1,9.0,0.31,1,99,0
50,0,21,6.7,9.0,0.35,1,99,0
60,0,21,7.8,9.0,0.37,1,99,0
70,0,21,8.7,9.0,0.39,1,99,0
80,0,21,10.2,9.0,0.42,1,99,0
90,0,21,11.4,9.0,0.44,5,99,0
100,0,21,12.0,9.0,0.46,5,99,0
110,0,21,12.3,9.0,0.46,5,99,0
120,0,21,12.4,9.0,0.47,5,99,0
130,0,21,12.8,9.0,0.47,5,96,0
140,0,21,13.2,9.0,0.48,5,87,0
150,0,21,13.3,9.0,0.48,5,84,0
160,0,21,13.3,9.0,0.48,5,80,0
170,0,21,13.1,9.0,0.48,5,81,0
180,0,21,13.1,9.0,0.48,5,86,0
190,0,21,12.5,9.0,0.47,5,90,0
200,0,21,11.9,9.0,0.46,5,99,0
210,0,21,10.8,9.0,0.43,5,99,0
220,0,21,10.2,9.0,0.42,4,99,0
230,0,21,10.4,9.0,0.42,4,99,0
240,0,21,11.4,9.0,0.44,5,99,0
250,0,21,11.9,9.0,0.45,5,99,0
260,0,21,12.4,9.0,0.46,5,99,0
270,0,21,12.1,9.0,0.46,5,97,0
280,0,21,12.3,9.0,0.46,5,98,0
290,0,21,13.4,9.0,0.48,5,91,0
300,0,21,13.0,9.0,0.48,5,79,0
310,0,21,12.5,9.0,0.47,5,85,0
320,0,21,11.8,9.0,0.45,5,99,0
330,0,21,12.2,9.0,0.46,5,99,0
340,0,21,12.8,9.0,0.47,5,90,0
350,0,21,12.7,9.0,0.47,5,90,0
360,0,21,12.7,9.0,0.47,5,88,0
370,0,21,12.6,9.0,0.47,5,88,0
380,0,21,12.4,9.0,0.46,5,98,0
390,0,21,12.3,9.0,0.46,5,99,0
400,0,21,12.2,9.0,0.46,5,99,0
410,0,21,11.7,9.0,0.45,5,99,0
420,0,21,11.5,9.0,0.45,5,99,0
430,0,21,11.3,9.0,0.44,5,99,0
440,0,21,11.9,9.0,0.45,5,99,0
450,0,21,12.6,9.0,0.47,5,94,0
460,0,21,12.9,9.0,0.48,5,83,0
470,0,21,12.9,9.0,0.47,5,83,0
480,0,21,13.1,9.0,0.48,5,80,0
490,0,21,13.0,9.0,0.48,5,83,0
500,0,21,12.7,9.0,0.47,5,87,0
510,0,21,12.4,9.0,0.47,5,92,0
520,0,21,12.2,9.0,0.46,5,99,0
530,0,21,11.7,9.0,0.45,5,99,0
540,0,21,11.3,9.0,0.44,5,99,0
550,0,21,11.1,9.0,0.44,5,99,0
560,0,21,10.6,9.0,0.43,5,99,0
570,0,21,10.3,9.0,0.42,4,99,0
580,0,21,10.5,9.0,0.43,4,99,0
590,0,21,11.2,9.0,0.44,5,99,0
600,0,21,11.0,9.0,0.44,5,99,0
610,0,21,11.1,9.0,0.44,5,99,0
620,0,21,10.9,9.0,0.43,5,99,0
630,0,21,11.1,9.0,0.44,5,99,0
640,0,21,11.0,9.0,0.44,5,99,0
650,0,21,11.0,9.0,0.44,5,99,0
660,0,21,11.2,9.0,0.44,5,99,0
670,0,21,11.7,9.0,0.45,5,99,0
680,0,21,12.1,9.0,0.46,5,97,0
690,0,21,11.8,9.0,0.45,5,99,0
700,0,21,11.5,9.0,0.45,5,99,0
710,0,21,11.5,9.0,0.45,5,99,0
720,0,21,12.0,9.0,0.46,5,99,0
730,0,21,12.2,9.0,0.46,5,97,0
740,0,21,12.7,9.0,0.47,5,86,0
750,0,21,12.1,9.0,0.46,5,99,0
760,0,21,11.5,9.0,0.45,5,99,0
770,0,21,11.3,9.0,0.44,5,99,0
780,0,21,11.4,9.0,0.44,5,99,0
790,0,21,11.6,9.0,0.45,5,99,0
800,0,21,10.9,9.0,0.43,5,99,0
810,0,21,10.1,9.0,0.42,5,99,0
820,0,21,8.9,9.0,0.39,4,99,0
830,0,21,8.7,9.0,0.39,4,99,0
840,0,21,10.0,9.0,0.41,4,99,0
850,0,21,10.7,9.0,0.43,5,99,0
860,0,21,11.0,9.0,0.44,5,99,0
870,0,21,11.3,9.0,0.44,5,99,0
880,0,21,11.1,9.0,0.44,5,99,0
890,0,21,11.0,9.0,0.44,5,99,0
900,0,21,10.8,9.0,0.43,5,99,0
910,0,21,11.1,9.0,0.44,5,99,0
920,0,21,10.4,9.0,0.42,5,99,0
930,0,21,10.6,9.0,0.43,5,99,0
940,0,21,10.7,9.0,0.43,5,99,0
950,0,21,10.4,9.0,0.42,4,99,0
960,0,21,10.2,9.0,0.42,4,99,0
970,0,21,10.4,9.0,0.42,4,99,0
980,0,21,9.6,9.0,0.41,4,99,0
990,0,21,9.5,9.0,0.4,4,99,0
1000,0,21,10.0,9.0,0.41,4,99,0
1010,0,21,10.2,9.0,0.42,4,99,0
1020,0,21,10.3,9.0,0.42,4,99,0
1030,0,21,10.0,9.0,0.42,4,99,0
1040,0,21,9.8,9.0,0.41,4,99,0
1050,0,21,9.9,9.0,0.41,4,99,0
1060,0,21,9.4,9.0,0.4,4,99,0
1070,0,21,9.0,9.0,0.39,4,99,0
1080,0,21,8.3,9.0,0.38,4,99,0
1090,0,21,7.0,9.0,0.36,4,99,0
1100,0,21,6.3,9.0,0.34,4,99,0
1110,0,21,6.0,9.0,0.33,4,99,0
1120,0,21,5.9,9.0,0.33,4,99,0
1130,0,21,5.8,9.0,0.33,4,99,0
1140,0,21,5.8,9.0,0.33,4,99,0
1150,0,21,4.5,9.0,0.3,3,99,0
1160,0,21,4.3,9.0,0.3,3,99,0
1170,0,21,4.4,9.0,0.3,3,99,0
1180,0,21,4.1,9.0,0.29,3,99,0
1190,0,21,4.7,9.0,0.31,3,99,0
1200,0,21,4.1,9.0,0.29,2,99,0
1210,0,21,3.8,9.0,0.29,2,99,0
1220,0,21,4.8,9.0,0.31,2,99,0
1230,0,21,5.7,9.0,0.33,2,99,0
1240,0,21,5.7,9.0,0.33,2,99,0
1250,0,21,5.6,9.0,0.32,2,99,0
1260,0,21,5.5,9.0,0.32,1,99,0
1270,0,21,5.2,9.0,0.31,1,99,0
1280,0,21,5.8,9.0,0.33,1,99,0
1290,0,21,5.7,9.0,0.33,1,99,0
1300,0,21,5.7,9.0,0.33,1,99,0
1310,0,21,5.8,9.0,0.33,1,99,0
1320,0,21,5.5,9.0,0.32,1,99,0
1330,0,21,5.9,9.0,0.33,1,99,0
1340,0,21,5.7,9.0,0.33,1,99,0
1350,0,21,5.9,9.0,0.33,1,99,0
1360,0,21,5.8,9.0,0.33,1,99,0
1370,0,21,5.5,9.0,0.32,1,99,0
1380,0,21,5.7,9.0,0.33,1,99,0
1390,0,21,4.2,9.0,0.3,1,99,0
1400,0,21,2.7,9.0,0.27,1,99,0
1410,0,21,1.5,9.0,0.24,1,99,0
1420,0,21,0.0,9.0,0.22,1,99,0
1430,0,21,1.5,9.0,0.24,1,99,0
1440,0,21,1.8,9.0,0.25,1,99,0
1450,0,21,1.6,9.0,0.24,1,99,0
1460,0,21,1.0,9.0,0.23,1,99,0
1470,0,21,1.3,9.0,0.23,1,99,0
1480,0,21,1.2,9.0,0.23,1,99,0
1490,0,21,1.5,9.0,0.24,1,99,0
1500,0,21,1.4,9.0,0.24,1,99,0
1510,0,21,1.2,9.0,0.23,1,99,0
1520,0,21,1.9,9.0,0.25,1,99,0
1530,0,21,2.0,9.0,0.25,1,99,0
1540,0,21,1.6,9.0,0.24,1,99,0
1550,0,21,1.8,9.0,0.25,1,99,0
1560,0,21,1.4,9.0,0.24,1,99,0
1570,0,21,1.2,9.0,0.23,1,99,0
1580,0,21,1.0,9.0,0.23,1,99,0
1590,0,21,0.0,9.0,0.22,1,99,0
1600,0,21,1.2,9.0,0.23,1,99,0
1610,0,21,1.6,9.0,0.24,1,99,0
1620,0,21,1.2,9.0,0.23,1,99,0
1630,0,21,1.0,9.0,0.23,1,99,0
1640,0,21,1.1,9.0,0.23,1,99,0
1650,0,21,0.0,9.0,0.22,1,99,0
1660,0,21,0.0,9.0,0.22,1,99,0
1670,0,21,0.0,9.0,0.22,0,99,0
1680,0,21,0.0,9.0,0.21,0,99,0
1690,0,21,0.0,9.0,0.21,0,99,0
1700,0,21,0.0,9.0,0.21,0,99,0
1710,0,21,0.0,9.0,0.21,0,99,0
