time_s,deco_stop,o2,depth_m,temp_c,avg_ppo2,tts_min,ndl_min,he
10,0,21,1.3,25.0,0.23,1,0,0
20,0,21,2.5,25.0,0.26,1,99,0
30,0,21,3.4,25.0,0.28,1,99,0
40,0,21,4.3,25.0,0.3,1,99,0
50,0,21,5.1,25.0,0.31,1,99,0
60,0,21,6.0,25.0,0.33,1,99,0
70,0,21,7.4,25.0,0.36,1,99,0
80,0,21,8.4,25.0,0.38,1,99,0
90,0,21,10.0,25.0,0.41,1,99,0
100,0,21,11.3,25.0,0.44,5,99,0
110,0,21,12.0,25.0,0.46,5,99,0
120,0,21,12.4,25.0,0.47,5,90,0
130,0,21,11.3,25.0,0.44,5,99,0
140,0,21,11.5,25.0,0.45,5,99,0
150,0,21,12.4,25.0,0.47,5,82,0
160,0,21,12.2,25.0,0.46,5,91,0
170,0,21,12.5,25.0,0.47,5,87,0
180,0,21,12.7,25.0,0.47,5,81,0
190,0,21,13.0,25.0,0.48,5,83,0
200,0,21,13.1,25.0,0.48,5,80,0
210,0,21,13.1,25.0,0.48,5,71,0
220,0,21,12.7,25.0,0.47,5,82,0
230,0,21,13.1,25.0,0.48,5,79,0
240,0,21,12.8,25.0,0.47,5,78,0
250,0,21,12.3,25.0,0.46,5,84,0
260,0,21,11.6,25.0,0.45,5,99,0
270,0,21,12.3,25.0,0.46,5,99,0
280,0,21,12.1,25.0,0.46,5,93,0
290,0,21,11.4,25.0,0.44,5,99,0
300,0,21,10.6,25.0,0.43,4,99,0
310,0,21,10.2,25.0,0.42,4,99,0
320,0,21,10.5,25.0,0.43,4,99,0
330,0,21,10.3,25.0,0.42,4,99,0
340,0,21,9.6,25.0,0.41,4,99,0
350,0,21,9.8,25.0,0.41,4,99,0
360,0,21,9.2,25.0,0.4,4,99,0
370,0,21,9.2,25.0,0.4,4,99,0
380,0,21,10.0,25.0,0.42,4,99,0
390,0,21,9.5,25.0,0.41,4,99,0
400,0,21,10.2,25.0,0.42,4,99,0
410,0,21,10.7,25.0,0.43,4,99,0
420,0,21,10.7,25.0,0.43,4,99,0
430,0,21,11.2,25.0,0.44,5,99,0
440,0,21,12.2,25.0,0.46,5,99,0
450,0,21,12.5,25.0,0.47,5,91,0
460,0,21,13.0,25.0,0.48,5,71,0
470,0,21,13.9,25.0,0.5,5,65,0
480,0,21,13.7,25.0,0.49,5,64,0
490,0,21,13.6,25.0,0.49,5,59,0
500,0,21,14.3,25.0,0.51,5,56,0
510,0,21,14.6,25.0,0.51,5,54,0
520,0,21,14.7,25.0,0.51,5,51,0
530,0,21,15.4,25.0,0.53,5,46,0
540,0,21,14.6,25.0,0.51,5,52,0
550,0,21,14.1,25.0,0.5,5,52,0
560,0,21,14.2,25.0,0.5,5,55,0
570,0,21,14.7,25.0,0.51,5,54,0
580,0,21,14.1,25.0,0.5,5,57,0
590,0,21,14.6,25.0,0.51,5,50,0
600,0,21,14.2,25.0,0.5,5,55,0
610,0,21,14.8,25.0,0.52,5,48,0
620,0,21,15.1,25.0,0.52,5,47,0
630,0,21,14.9,25.0,0.52,5,48,0
640,0,21,14.5,25.0,0.51,5,51,0
650,0,21,14.9,25.0,0.52,5,48,0
660,0,21,15.3,25.0,0.53,5,45,0
670,0,21,15.4,25.0,0.53,5,45,0
680,0,21,15.4,25.0,0.53,5,46,0
690,0,21,16.0,25.0,0.54,5,42,0
700,0,21,14.5,25.0,0.51,5,45,0
710,0,21,14.4,25.0,0.51,5,48,0
720,0,21,14.3,25.0,0.5,5,54,0
730,0,21,13.8,25.0,0.5,5,51,0
740,0,21,14.5,25.0,0.51,5,54,0
750,0,21,14.2,25.0,0.5,5,50,0
760,0,21,14.1,25.0,0.5,5,49,0
770,0,21,14.5,25.0,0.51,5,48,0
780,0,21,14.0,25.0,0.5,5,51,0
790,0,21,14.3,25.0,0.51,5,50,0
800,0,21,14.6,25.0,0.51,5,49,0
810,0,21,14.4,25.0,0.51,5,49,0
820,0,21,14.9,25.0,0.52,5,45,0
830,0,21,14.9,25.0,0.52,5,43,0
840,0,21,15.1,25.0,0.52,5,42,0
850,0,21,14.7,25.0,0.51,5,45,0
860,0,21,14.5,25.0,0.51,5,46,0
870,0,21,13.4,25.0,0.49,5,57,0
880,0,21,12.7,25.0,0.47,5,77,0
890,0,21,12.8,25.0,0.47,5,73,0
900,0,21,13.4,25.0,0.49,5,56,0
910,0,21,13.4,25.0,0.48,5,62,0
920,0,21,13.8,25.0,0.5,5,52,0
930,0,21,14.5,25.0,0.51,5,47,0
940,0,21,15.2,25.0,0.52,5,42,0
950,0,21,14.9,25.0,0.52,5,42,0
960,0,21,15.7,25.0,0.53,5,38,0
970,0,21,16.7,25.0,0.56,5,33,0
980,0,21,16.6,25.0,0.55,5,33,0
990,0,21,16.6,25.0,0.55,5,33,0
1000,0,21,16.8,25.0,0.56,5,31,0
1010,0,21,16.4,25.0,0.55,5,32,0
1020,0,21,16.4,25.0,0.55,5,32,0
1030,0,21,16.6,25.0,0.55,5,33,0
1040,0,21,16.2,25.0,0.55,5,34,0
1050,0,21,16.2,25.0,0.55,5,31,0
1060,0,21,16.1,25.0,0.54,5,34,0
1070,0,21,15.0,25.0,0.52,5,34,0
1080,0,21,16.0,25.0,0.54,5,33,0
1090,0,21,15.7,25.0,0.54,5,35,0
1100,0,21,14.8,25.0,0.52,5,40,0
1110,0,21,15.3,25.0,0.53,5,37,0
1120,0,21,15.9,25.0,0.54,5,33,0
1130,0,21,15.2,25.0,0.53,5,36,0
1140,0,21,15.4,25.0,0.53,5,37,0
1150,0,21,15.7,25.0,0.53,5,33,0
1160,0,21,15.2,25.0,0.52,5,37,0
1170,0,21,15.5,25.0,0.53,5,35,0
1180,0,21,16.5,25.0,0.56,5,32,0
1190,0,21,16.3,25.0,0.55,5,29,0
1200,0,21,16.4,25.0,0.55,5,30,0
1210,0,21,16.4,25.0,0.55,5,29,0
1220,0,21,16.3,25.0,0.54,5,31,0
1230,0,21,15.5,25.0,0.53,5,31,0
1240,0,21,15.1,25.0,0.52,5,36,0
1250,0,21,15.5,25.0,0.53,5,34,0
1260,0,21,15.8,25.0,0.54,5,32,0
1270,0,21,15.6,25.0,0.53,5,32,0
1280,0,21,15.2,25.0,0.52,5,33,0
1290,0,21,14.9,25.0,0.52,5,34,0
1300,0,21,15.0,25.0,0.52,5,34,0
1310,0,21,14.8,25.0,0.52,5,36,0
1320,0,21,14.8,25.0,0.52,5,36,0
1330,0,21,14.5,25.0,0.51,5,37,0
1340,0,21,14.7,25.0,0.51,5,41,0
1350,0,21,14.3,25.0,0.51,5,37,0
1360,0,21,14.3,25.0,0.51,5,36,0
1370,0,21,14.3,25.0,0.51,5,40,0
1380,0,21,13.9,25.0,0.5,5,44,0
1390,0,21,13.8,25.0,0.5,5,42,0
1400,0,21,13.7,25.0,0.49,5,43,0
1410,0,21,13.2,25.0,0.48,5,44,0
1420,0,21,12.8,25.0,0.47,5,56,0
1430,0,21,12.3,25.0,0.46,5,58,0
1440,0,21,12.3,25.0,0.46,5,73,0
1450,0,21,12.5,25.0,0.47,5,64,0
1460,0,21,12.3,25.0,0.47,5,61,0
1470,0,21,11.9,25.0,0.46,5,65,0
1480,0,21,12.0,25.0,0.46,5,71,0
1490,0,21,11.4,25.0,0.45,5,75,0
1500,0,21,11.9,25.0,0.46,5,70,0
1510,0,21,12.1,25.0,0.46,5,69,0
1520,0,21,13.2,25.0,0.48,5,56,0
1530,0,21,13.1,25.0,0.48,5,44,0
1540,0,21,13.6,25.0,0.49,5,47,0
1550,0,21,13.6,25.0,0.49,5,44,0
1560,0,21,14.0,25.0,0.5,5,41,0
1570,0,21,13.7,25.0,0.49,5,39,0
1580,0,21,13.8,25.0,0.5,5,42,0
1590,0,21,13.7,25.0,0.49,5,40,0
1600,0,21,13.4,25.0,0.49,5,46,0
1610,0,21,12.8,25.0,0.48,5,49,0
1620,0,21,12.5,25.0,0.47,5,52,0
1630,0,21,12.5,25.0,0.47,5,57,0
1640,0,21,12.0,25.0,0.46,5,62,0
1650,0,21,11.9,25.0,0.46,5,68,0
1660,0,21,11.7,25.0,0.45,5,66,0
1670,0,21,11.2,25.0,0.44,5,83,0
1680,0,21,11.3,25.0,0.44,5,84,0
1690,0,21,11.6,25.0,0.45,5,80,0
1700,0,21,12.4,25.0,0.47,5,67,0
1710,0,21,12.1,25.0,0.46,5,64,0
1720,0,21,11.3,25.0,0.44,5,67,0
1730,0,21,10.9,25.0,0.44,5,86,0
1740,0,21,10.5,25.0,0.43,4,99,0
1750,0,21,8.9,25.0,0.39,4,99,0
1760,0,21,8.0,25.0,0.38,4,99,0
1770,0,21,7.4,25.0,0.36,4,99,0
1780,0,21,6.8,25.0,0.35,4,99,0
1790,0,21,6.3,25.0,0.34,4,99,0
1800,0,21,6.0,25.0,0.33,4,99,0
1810,0,21,5.9,25.0,0.33,4,99,0
1820,0,21,6.1,25.0,0.34,4,99,0
1830,0,21,5.7,25.0,0.33,3,99,0
1840,0,21,5.3,25.0,0.32,3,99,0
1850,0,21,5.1,25.0,0.32,3,99,0
1860,0,21,5.5,25.0,0.32,3,99,0
