time_s,deco_stop,o2,depth_m,temp_c,avg_ppo2,tts_min,ndl_min,he
10,0,21,1.43,13.3,0.24,1,99,0
20,0,21,2.26,13.3,0.26,1,99,0
30,0,21,3.2,13.3,0.28,1,99,0
40,0,21,3.78,13.3,0.29,1,99,0
50,0,21,4.02,13.3,0.29,1,99,0
60,0,21,4.08,13.3,0.29,1,99,0
70,0,21,3.96,13.3,0.29,1,99,0
80,0,21,3.78,13.3,0.29,1,99,0
90,0,21,3.54,13.3,0.28,1,99,0
100,0,21,3.02,13.3,0.27,1,99,0
110,0,21,2.87,13.3,0.27,1,99,0
120,0,21,2.87,13.3,0.27,1,99,0
130,0,21,2.96,13.3,0.27,1,99,0
140,0,21,2.53,13.3,0.26,1,99,0
150,0,21,2.35,13.3,0.26,1,99,0
160,0,21,3.47,13.3,0.28,1,99,0
170,0,21,3.72,13.3,0.29,1,99,0
180,0,21,3.75,13.3,0.29,1,99,0
190,0,21,3.44,13.3,0.29,1,99,0
200,0,21,3.23,13.3,0.28,1,99,0
210,0,21,3.17,13.3,0.28,1,99,0
220,0,21,3.14,13.3,0.28,1,99,0
230,0,21,2.62,13.3,0.26,1,99,0
240,0,21,2.83,13.3,0.27,1,99,0
250,0,21,2.65,13.3,0.26,1,99,0
260,0,21,2.32,12.8,0.26,1,99,0
270,0,21,2.29,13.3,0.26,1,99,0
280,0,21,2.26,12.8,0.26,1,99,0
290,0,21,2.56,12.8,0.26,1,99,0
300,0,21,2.65,12.8,0.27,1,99,0
310,0,21,2.68,13.3,0.27,1,99,0
320,0,21,3.14,12.8,0.27,1,99,0
330,0,21,2.93,12.8,0.27,1,99,0
340,0,21,3.23,12.8,0.28,1,99,0
350,0,21,3.23,13.3,0.28,1,99,0
360,0,21,2.01,12.8,0.25,1,99,0
370,0,21,2.47,12.8,0.26,1,99,0
380,0,21,2.9,12.8,0.27,1,99,0
390,0,21,2.62,12.8,0.26,1,99,0
400,0,21,3.32,12.8,0.28,1,99,0
410,0,21,3.2,13.3,0.28,1,99,0
420,0,21,1.07,12.8,0.24,1,99,0
430,0,21,0.0,12.8,0.22,1,99,0
440,0,21,0.0,13.3,0.22,0,99,0
450,0,21,0.0,13.3,0.21,0,99,0
460,0,21,0.0,13.3,0.22,0,99,0
470,0,21,0.0,13.3,0.22,0,99,0
480,0,21,0.0,13.3,0.22,0,99,0
