time_s,deco_stop,o2,depth_m,temp_c,avg_ppo2,tts_min,ndl_min,he
10,0,21,0.0,9.0,0.22,0,99,0
20,0,21,2.9,9.0,0.27,1,99,0
30,0,21,3.2,9.0,0.28,1,99,0
40,0,21,3.2,9.0,0.28,1,99,0
50,0,21,3.1,9.0,0.27,1,99,0
60,0,21,3.1,9.0,0.28,1,99,0
70,0,21,3.5,9.0,0.28,1,99,0
80,0,21,3.3,9.0,0.28,1,99,0
90,0,21,3.4,9.0,0.28,1,99,0
100,0,21,3.8,9.0,0.29,1,99,0
110,0,21,3.8,9.0,0.29,1,99,0
120,0,21,4.0,9.0,0.29,1,99,0
130,0,21,3.8,9.0,0.29,1,99,0
140,0,21,4.0,9.0,0.29,1,99,0
150,0,21,3.8,9.0,0.29,1,99,0
160,0,21,4.0,9.0,0.29,1,99,0
170,0,21,4.1,9.0,0.3,1,99,0
180,0,21,4.3,10.0,0.3,1,99,0
190,0,21,4.3,10.0,0.3,1,99,0
200,0,21,4.6,10.0,0.3,1,99,0
210,0,21,4.9,10.0,0.31,1,99,0
220,0,21,5.3,10.0,0.32,1,99,0
230,0,21,5.6,10.0,0.33,1,99,0
240,0,21,5.5,10.0,0.32,1,99,0
250,0,21,5.2,10.0,0.32,1,99,0
260,0,21,4.9,10.0,0.31,1,99,0
270,0,21,4.3,10.0,0.3,1,99,0
280,0,21,4.3,10.0,0.3,1,99,0
290,0,21,4.2,10.0,0.3,1,99,0
300,0,21,3.3,10.0,0.28,1,99,0
310,0,21,2.7,10.0,0.27,1,99,0
320,0,21,2.7,10.0,0.26,1,99,0
330,0,21,3.3,10.0,0.28,1,99,0
340,0,21,3.8,10.0,0.29,1,99,0
350,0,21,3.9,10.0,0.29,1,99,0
360,0,21,3.8,10.0,0.29,1,99,0
370,0,21,3.9,10.0,0.29,1,99,0
380,0,21,3.7,10.0,0.29,1,99,0
390,0,21,3.7,10.0,0.29,1,99,0
400,0,21,3.6,10.0,0.28,1,99,0
410,0,21,3.6,10.0,0.28,1,99,0
420,0,21,3.4,10.0,0.28,1,99,0
430,0,21,3.5,9.0,0.28,1,99,0
440,0,21,3.4,9.0,0.28,1,99,0
450,0,21,3.7,9.0,0.29,1,99,0
460,0,21,3.6,9.0,0.28,1,99,0
470,0,21,3.4,9.0,0.28,1,99,0
480,0,21,3.3,9.0,0.28,1,99,0
490,0,21,3.1,9.0,0.27,1,99,0
500,0,21,3.3,9.0,0.28,1,99,0
510,0,21,3.1,9.0,0.27,1,99,0
520,0,21,3.1,9.0,0.27,1,99,0
530,0,21,3.2,9.0,0.27,1,99,0
540,0,21,3.0,9.0,0.27,1,99,0
550,0,21,3.0,9.0,0.27,1,99,0
560,0,21,2.6,9.0,0.26,1,99,0
570,0,21,2.0,9.0,0.25,1,99,0
580,0,21,1.0,9.0,0.23,1,99,0
590,0,21,1.7,9.0,0.24,1,99,0
600,0,21,3.1,9.0,0.27,1,99,0
610,0,21,3.2,9.0,0.28,1,99,0
620,0,21,3.3,9.0,0.28,1,99,0
630,0,21,3.2,9.0,0.28,1,99,0
640,0,21,3.3,9.0,0.28,1,99,0
650,0,21,3.2,9.0,0.28,1,99,0
660,0,21,3.3,9.0,0.28,1,99,0
670,0,21,3.3,9.0,0.28,1,99,0
680,0,21,3.3,9.0,0.28,1,99,0
690,0,21,3.1,9.0,0.27,1,99,0
700,0,21,2.8,9.0,0.27,1,99,0
710,0,21,2.8,9.0,0.27,1,99,0
720,0,21,3.0,9.0,0.27,1,99,0
730,0,21,2.7,9.0,0.26,1,99,0
740,0,21,2.6,9.0,0.26,1,99,0
750,0,21,2.6,9.0,0.26,1,99,0
760,0,21,2.4,9.0,0.26,1,99,0
770,0,21,2.3,9.0,0.26,1,99,0
780,0,21,2.4,9.0,0.26,1,99,0
790,0,21,2.2,9.0,0.26,1,99,0
800,0,21,2.0,9.0,0.25,1,99,0
810,0,21,2.3,9.0,0.26,1,99,0
820,0,21,1.7,9.0,0.24,1,99,0
830,0,21,2.0,9.0,0.25,1,99,0
840,0,21,1.2,9.0,0.24,1,99,0
850,0,21,1.1,9.0,0.23,1,99,0
860,0,21,0.0,9.0,0.23,1,99,0
870,0,21,0.0,9.0,0.22,1,99,0
880,0,21,1.7,9.0,0.24,1,99,0
890,0,21,1.7,9.0,0.24,1,99,0
900,0,21,1.9,9.0,0.25,1,99,0
910,0,21,1.9,9.0,0.25,1,99,0
920,0,21,2.0,9.0,0.25,1,99,0
930,0,21,1.9,9.0,0.25,1,99,0
940,0,21,1.7,9.0,0.24,1,99,0
950,0,21,1.8,9.0,0.25,1,99,0
960,0,21,1.7,9.0,0.24,1,99,0
970,0,21,1.9,9.0,0.25,1,99,0
980,0,21,1.8,9.0,0.25,1,99,0
990,0,21,2.0,9.0,0.25,1,99,0
1000,0,21,1.8,9.0,0.25,1,99,0
1010,0,21,1.7,9.0,0.24,1,99,0
1020,0,21,1.5,9.0,0.24,1,99,0
1030,0,21,1.3,9.0,0.24,1,99,0
1040,0,21,1.3,9.0,0.24,1,99,0
1050,0,21,1.2,9.0,0.23,1,99,0
1060,0,21,1.0,9.0,0.23,1,99,0
1070,0,21,0.0,9.0,0.22,1,99,0
1080,0,21,0.0,9.0,0.21,0,99,0
1090,0,21,0.0,9.0,0.21,0,99,0
1100,0,21,0.0,9.0,0.21,0,99,0
1110,0,21,0.0,9.0,0.21,0,99,0
1120,0,21,0.0,9.0,0.21,0,99,0
