time_s,deco_stop,o2,depth_m,temp_c,avg_ppo2,tts_min,ndl_min,he
10,0,21,1.4,13.9,0.24,1,99,0
20,0,21,2.56,13.9,0.26,1,99,0
30,0,21,2.47,13.9,0.26,1,99,0
40,0,21,2.53,13.9,0.26,1,99,0
50,0,21,2.19,13.9,0.26,1,99,0
60,0,21,2.26,13.9,0.26,1,99,0
70,0,21,1.37,13.9,0.24,1,99,0
80,0,21,0.0,13.9,0.22,0,99,0
90,0,21,1.22,13.9,0.24,1,99,0
100,0,21,3.35,13.9,0.28,1,99,0
110,0,21,3.41,13.9,0.28,1,99,0
120,0,21,3.35,13.3,0.28,1,99,0
130,0,21,3.44,13.3,0.28,1,99,0
140,0,21,3.23,13.3,0.28,1,99,0
150,0,21,2.77,13.3,0.27,1,99,0
160,0,21,2.83,13.3,0.27,1,99,0
170,0,21,1.77,13.3,0.25,1,99,0
180,0,21,0.0,13.3,0.22,0,99,0
190,0,21,0.0,13.3,0.22,0,99,0
200,0,21,0.0,13.3,0.22,0,99,0
210,0,21,0.0,13.3,0.22,0,99,0
220,0,21,0.0,13.3,0.22,0,99,0
230,0,21,0.0,13.3,0.22,0,99,0
