time_s,deco_stop,o2,depth_m,temp_c,avg_ppo2,tts_min,ndl_min,he
10,0,21,1.6,9.0,0.23,1,0,0
20,0,21,1.9,9.0,0.25,1,99,0
30,0,21,2.6,9.0,0.26,1,99,0
40,0,21,3.7,9.0,0.28,1,99,0
50,0,21,4.8,9.0,0.31,1,99,0
60,0,21,5.7,9.0,0.33,1,99,0
70,0,21,6.1,9.0,0.33,1,99,0
80,0,21,6.4,9.0,0.34,1,99,0
90,0,21,7.2,9.0,0.36,1,99,0
100,0,21,7.8,9.0,0.37,1,99,0
110,0,21,8.1,9.0,0.37,1,99,0
120,0,21,8.4,9.0,0.38,1,99,0
130,0,21,8.7,9.0,0.39,1,99,0
140,0,21,9.1,9.0,0.4,1,99,0
150,0,21,8.8,9.0,0.39,1,99,0
160,0,21,9.5,9.0,0.4,1,99,0
170,0,21,9.9,9.0,0.41,1,99,0
180,0,21,10.5,9.0,0.42,1,99,0
190,0,21,10.6,9.0,0.43,1,99,0
200,0,21,11.5,9.0,0.45,2,99,0
210,0,21,12.5,9.0,0.46,5,99,0
220,0,21,13.3,9.0,0.48,5,91,0
230,0,21,13.9,9.0,0.5,5,86,0
240,0,21,14.1,9.0,0.5,5,76,0
250,0,21,14.0,9.0,0.5,5,74,0
260,0,21,14.9,9.0,0.52,5,67,0
270,0,21,14.4,9.0,0.51,5,68,0
280,0,21,14.9,9.0,0.52,5,67,0
290,0,21,15.2,9.0,0.52,5,64,0
300,0,21,15.2,9.0,0.52,5,62,0
310,0,21,15.2,9.0,0.52,5,62,0
320,0,21,14.9,9.0,0.52,5,65,0
330,0,21,14.5,9.0,0.51,5,68,0
340,0,21,14.0,9.0,0.5,5,70,0
350,0,21,14.0,9.0,0.5,5,73,0
360,0,21,13.5,9.0,0.49,5,73,0
370,0,21,13.0,9.0,0.48,5,86,0
380,0,21,12.3,9.0,0.46,5,99,0
390,0,21,12.7,9.0,0.47,5,98,0
400,0,21,12.8,9.0,0.47,5,91,0
410,0,21,12.7,9.0,0.47,5,98,0
420,0,21,11.7,9.0,0.45,5,99,0
430,0,21,10.1,9.0,0.42,4,99,0
440,0,21,8.8,9.0,0.39,4,99,0
450,0,21,7.2,9.0,0.36,4,99,0
460,0,21,7.5,9.0,0.36,4,99,0
470,0,21,7.6,9.0,0.37,4,99,0
480,0,21,7.4,9.0,0.36,4,99,0
490,0,21,7.5,9.0,0.36,4,99,0
500,0,21,7.0,9.0,0.36,4,99,0
510,0,21,5.8,9.0,0.33,4,99,0
520,0,21,5.2,9.0,0.32,4,99,0
530,0,21,5.0,9.0,0.31,4,99,0
540,0,21,5.2,9.0,0.32,4,99,0
550,0,21,5.0,9.0,0.31,3,99,0
560,0,21,4.6,9.0,0.31,3,99,0
570,0,21,3.9,9.0,0.29,3,99,0
580,0,21,2.9,9.0,0.27,3,99,0
590,0,21,1.5,9.0,0.24,2,99,0
600,0,21,0.0,9.0,0.22,2,99,0
610,0,21,0.0,9.0,0.22,2,99,0
620,0,21,0.0,9.0,0.21,2,99,0
630,0,21,0.0,9.0,0.21,2,99,0
640,0,21,0.0,9.0,0.21,2,99,0
650,0,21,0.0,9.0,0.21,2,99,0
