time_s,deco_stop,o2,depth_m,temp_c,avg_ppo2,tts_min,ndl_min,he
10,0,21,2.6,30.0,0.26,1,0,0
20,0,21,4.1,29.0,0.29,1,99,0
30,0,21,6.5,29.0,0.34,1,99,0
40,0,21,8.1,28.0,0.38,1,99,0
50,0,21,6.5,28.0,0.35,1,99,0
60,0,21,6.2,28.0,0.34,1,99,0
70,0,21,6.0,28.0,0.33,1,99,0
80,0,21,6.7,27.0,0.35,1,99,0
90,0,21,7.7,27.0,0.37,1,99,0
100,0,21,8.6,27.0,0.39,1,99,0
110,0,21,9.3,27.0,0.4,1,99,0
120,0,21,9.3,27.0,0.4,1,99,0
130,0,21,8.8,27.0,0.39,1,99,0
140,0,21,10.0,27.0,0.42,1,99,0
150,0,21,10.6,27.0,0.43,1,99,0
160,0,21,11.2,26.0,0.44,2,99,0
170,0,21,12.0,26.0,0.46,5,99,0
180,0,21,13.0,26.0,0.48,5,99,0
190,0,21,13.7,26.0,0.49,5,92,0
200,0,21,13.0,26.0,0.48,5,88,0
210,0,21,13.1,26.0,0.48,5,91,0
220,0,21,13.5,26.0,0.49,5,87,0
230,0,21,14.4,26.0,0.51,5,80,0
240,0,21,14.7,26.0,0.51,5,70,0
250,0,21,14.9,26.0,0.52,5,67,0
260,0,21,15.0,26.0,0.52,5,67,0
270,0,21,14.5,26.0,0.51,5,69,0
280,0,21,13.9,26.0,0.5,5,77,0
290,0,21,14.1,26.0,0.5,5,75,0
300,0,21,13.7,26.0,0.49,5,79,0
310,0,21,13.5,26.0,0.49,5,79,0
320,0,21,13.9,26.0,0.5,5,82,0
330,0,21,13.5,26.0,0.49,5,75,0
340,0,21,13.8,26.0,0.5,5,82,0
350,0,21,14.9,26.0,0.52,5,74,0
360,0,21,15.2,26.0,0.53,5,63,0
370,0,21,14.9,26.0,0.52,5,62,0
380,0,21,14.9,26.0,0.52,5,64,0
390,0,21,15.1,26.0,0.52,5,66,0
400,0,21,15.7,26.0,0.53,5,59,0
410,0,21,16.2,26.0,0.55,5,55,0
420,0,21,15.7,26.0,0.53,5,54,0
430,0,21,14.5,26.0,0.51,5,64,0
440,0,21,14.1,26.0,0.5,5,71,0
450,0,21,13.7,26.0,0.49,5,76,0
460,0,21,13.7,26.0,0.49,5,74,0
470,0,21,13.6,26.0,0.49,5,80,0
480,0,21,14.2,26.0,0.5,5,71,0
490,0,21,15.1,26.0,0.52,5,62,0
500,0,21,15.4,26.0,0.53,5,60,0
510,0,21,15.5,26.0,0.53,5,59,0
520,0,21,14.8,26.0,0.52,5,59,0
530,0,21,14.3,26.0,0.51,5,66,0
540,0,21,14.2,26.0,0.5,5,69,0
550,0,21,13.5,26.0,0.49,5,77,0
560,0,21,14.1,26.0,0.5,5,75,0
570,0,21,14.6,26.0,0.51,5,65,0
580,0,21,14.5,26.0,0.51,5,64,0
590,0,21,14.4,26.0,0.51,5,65,0
600,0,21,14.2,26.0,0.5,5,67,0
610,0,21,13.8,26.0,0.5,5,72,0
620,0,21,13.4,26.0,0.49,5,77,0
630,0,21,13.1,26.0,0.48,5,83,0
640,0,21,13.0,26.0,0.48,5,85,0
650,0,21,13.9,26.0,0.5,5,71,0
660,0,21,14.6,26.0,0.51,5,63,0
670,0,21,14.3,26.0,0.51,5,66,0
680,0,21,14.5,26.0,0.51,5,63,0
690,0,21,14.3,26.0,0.51,5,65,0
700,0,21,14.1,26.0,0.5,5,67,0
710,0,21,13.8,26.0,0.5,5,71,0
720,0,21,13.3,26.0,0.48,5,79,0
730,0,21,13.5,26.0,0.49,5,76,0
740,0,21,12.5,26.0,0.47,5,93,0
750,0,21,11.3,26.0,0.45,5,99,0
760,0,21,11.0,26.0,0.44,5,99,0
770,0,21,10.3,26.0,0.42,4,99,0
780,0,21,9.8,26.0,0.41,4,99,0
790,0,21,9.8,26.0,0.41,4,99,0
800,0,21,10.8,26.0,0.43,5,99,0
810,0,21,10.9,26.0,0.44,5,99,0
820,0,21,11.9,26.0,0.46,5,99,0
830,0,21,12.6,26.0,0.47,5,89,0
840,0,21,12.6,26.0,0.47,5,89,0
850,0,21,13.4,26.0,0.49,5,79,0
860,0,21,13.9,26.0,0.5,5,70,0
870,0,21,13.7,26.0,0.49,5,69,0
880,0,21,13.3,26.0,0.48,5,75,0
890,0,21,12.4,26.0,0.47,5,76,0
900,0,21,12.1,26.0,0.46,5,94,0
910,0,21,11.5,26.0,0.45,5,99,0
920,0,21,11.9,26.0,0.46,5,99,0
930,0,21,11.3,26.0,0.44,5,99,0
940,0,21,11.3,26.0,0.44,5,99,0
950,0,21,11.6,26.0,0.45,5,99,0
960,0,21,11.9,26.0,0.46,5,99,0
970,0,21,12.4,26.0,0.47,5,99,0
980,0,21,12.6,26.0,0.47,5,91,0
990,0,21,12.8,26.0,0.47,5,80,0
1000,0,21,12.7,26.0,0.47,5,89,0
1010,0,21,12.1,26.0,0.46,5,95,0
1020,0,21,11.9,26.0,0.46,5,98,0
1030,0,21,12.3,26.0,0.47,5,88,0
1040,0,21,11.6,26.0,0.46,5,99,0
1050,0,21,10.5,26.0,0.43,5,99,0
1060,0,21,10.1,26.0,0.42,4,99,0
1070,0,21,10.6,26.0,0.43,4,99,0
1080,0,21,11.5,26.0,0.45,5,99,0
1090,0,21,11.8,26.0,0.45,5,99,0
1100,0,21,11.8,26.0,0.45,5,99,0
1110,0,21,12.5,26.0,0.47,5,87,0
1120,0,21,12.6,26.0,0.47,5,80,0
1130,0,21,12.7,26.0,0.47,5,79,0
1140,0,21,12.7,26.0,0.47,5,79,0
1150,0,21,12.8,26.0,0.48,5,80,0
1160,0,21,12.8,26.0,0.47,5,80,0
1170,0,21,12.5,26.0,0.47,5,86,0
1180,0,21,12.8,26.0,0.47,5,80,0
1190,0,21,12.0,26.0,0.46,5,85,0
1200,0,21,11.6,26.0,0.45,5,99,0
1210,0,21,11.6,26.0,0.45,5,99,0
1220,0,21,10.7,26.0,0.43,5,99,0
1230,0,21,10.9,26.0,0.43,4,99,0
1240,0,21,10.7,26.0,0.43,5,99,0
1250,0,21,10.5,26.0,0.43,5,99,0
1260,0,21,10.7,26.0,0.43,5,99,0
1270,0,21,11.2,26.0,0.44,5,99,0
1280,0,21,10.3,26.0,0.43,4,99,0
1290,0,21,10.8,25.0,0.43,4,99,0
1300,0,21,10.9,26.0,0.44,5,99,0
1310,0,21,11.2,26.0,0.44,5,99,0
1320,0,21,11.1,26.0,0.44,5,99,0
1330,0,21,11.5,26.0,0.45,5,99,0
1340,0,21,11.9,26.0,0.46,5,99,0
1350,0,21,11.9,26.0,0.46,5,99,0
1360,0,21,12.1,25.0,0.46,5,99,0
1370,0,21,12.7,25.0,0.47,5,84,0
1380,0,21,13.4,25.0,0.49,5,78,0
1390,0,21,13.2,25.0,0.48,5,68,0
1400,0,21,13.5,26.0,0.49,5,68,0
1410,0,21,13.1,25.0,0.48,5,68,0
1420,0,21,13.2,25.0,0.48,5,67,0
1430,0,21,12.9,26.0,0.48,5,73,0
1440,0,21,12.9,26.0,0.48,5,73,0
1450,0,21,13.0,26.0,0.48,5,73,0
1460,0,21,13.5,26.0,0.49,5,64,0
1470,0,21,13.1,26.0,0.48,5,70,0
1480,0,21,13.2,25.0,0.48,5,69,0
1490,0,21,12.4,25.0,0.47,5,85,0
1500,0,21,10.7,25.0,0.44,5,85,0
1510,0,21,10.7,26.0,0.43,4,99,0
1520,0,21,11.1,25.0,0.44,5,99,0
1530,0,21,11.6,25.0,0.45,5,99,0
1540,0,21,11.5,26.0,0.45,5,99,0
1550,0,21,11.9,25.0,0.46,5,99,0
1560,0,21,11.7,25.0,0.45,5,97,0
1570,0,21,12.4,26.0,0.46,5,99,0
1580,0,21,11.8,26.0,0.45,5,98,0
1590,0,21,11.9,26.0,0.46,5,94,0
1600,0,21,11.9,26.0,0.46,5,90,0
1610,0,21,12.3,26.0,0.47,5,88,0
1620,0,21,11.5,25.0,0.45,5,99,0
1630,0,21,9.8,26.0,0.42,4,99,0
1640,0,21,10.2,26.0,0.42,5,99,0
1650,0,21,11.1,26.0,0.44,5,99,0
1660,0,21,11.4,26.0,0.44,5,99,0
1670,0,21,11.0,26.0,0.44,5,99,0
1680,0,21,10.4,26.0,0.43,5,99,0
1690,0,21,9.7,26.0,0.41,4,99,0
1700,0,21,10.2,26.0,0.42,4,99,0
1710,0,21,10.1,26.0,0.42,4,99,0
1720,0,21,9.9,26.0,0.42,4,99,0
1730,0,21,8.6,25.0,0.39,4,99,0
1740,0,21,8.8,26.0,0.39,4,99,0
1750,0,21,8.7,25.0,0.39,4,99,0
1760,0,21,9.1,26.0,0.4,4,99,0
1770,0,21,9.2,26.0,0.4,4,99,0
1780,0,21,8.3,26.0,0.38,4,99,0
1790,0,21,8.0,25.0,0.37,4,99,0
1800,0,21,7.8,26.0,0.37,4,99,0
1810,0,21,7.1,25.0,0.36,4,99,0
1820,0,21,6.8,25.0,0.35,4,99,0
1830,0,21,6.9,26.0,0.35,4,99,0
1840,0,21,7.2,26.0,0.36,4,99,0
1850,0,21,7.3,25.0,0.36,4,99,0
1860,0,21,7.2,25.0,0.36,4,99,0
1870,0,21,7.4,25.0,0.36,4,99,0
1880,0,21,8.7,25.0,0.39,4,99,0
1890,0,21,9.4,26.0,0.4,4,99,0
1900,0,21,9.3,25.0,0.4,4,99,0
1910,0,21,9.3,25.0,0.4,4,99,0
1920,0,21,9.5,25.0,0.41,4,99,0
1930,0,21,9.4,25.0,0.41,4,99,0
1940,0,21,9.8,25.0,0.41,4,99,0
1950,0,21,10.3,26.0,0.42,4,99,0
1960,0,21,10.4,26.0,0.42,4,99,0
1970,0,21,10.3,26.0,0.42,4,99,0
1980,0,21,10.9,26.0,0.43,5,99,0
1990,0,21,11.6,25.0,0.45,5,99,0
2000,0,21,11.3,25.0,0.44,5,99,0
2010,0,21,11.3,26.0,0.44,5,99,0
2020,0,21,11.2,25.0,0.44,5,99,0
2030,0,21,10.6,25.0,0.43,5,99,0
2040,0,21,9.9,25.0,0.42,4,99,0
2050,0,21,10.2,25.0,0.42,4,99,0
2060,0,21,10.4,25.0,0.43,4,99,0
2070,0,21,9.5,25.0,0.41,4,99,0
2080,0,21,9.8,25.0,0.41,4,99,0
2090,0,21,10.6,25.0,0.43,5,99,0
2100,0,21,10.1,25.0,0.42,5,99,0
2110,0,21,9.7,25.0,0.41,4,99,0
2120,0,21,9.4,25.0,0.4,4,99,0
2130,0,21,9.5,25.0,0.4,4,99,0
2140,0,21,12.2,25.0,0.46,5,99,0
2150,0,21,12.6,25.0,0.47,5,71,0
2160,0,21,11.4,25.0,0.45,5,74,0
2170,0,21,11.1,25.0,0.44,5,99,0
2180,0,21,10.3,25.0,0.42,5,99,0
2190,0,21,11.0,25.0,0.44,4,99,0
2200,0,21,11.6,25.0,0.45,5,99,0
2210,0,21,11.8,25.0,0.46,5,90,0
2220,0,21,12.0,25.0,0.46,5,91,0
2230,0,21,12.2,25.0,0.46,5,91,0
2240,0,21,12.6,25.0,0.47,5,79,0
2250,0,21,12.0,25.0,0.46,5,80,0
2260,0,21,11.5,25.0,0.45,5,81,0
2270,0,21,10.1,25.0,0.42,4,99,0
2280,0,21,10.0,25.0,0.42,4,99,0
2290,0,21,9.7,25.0,0.41,4,99,0
