time_s,deco_stop,o2,depth_m,temp_c,avg_ppo2,tts_min,ndl_min,he
10,0,21,3.08,13.9,0.27,1,0,0
20,0,21,3.02,13.9,0.27,1,99,0
30,0,21,2.87,13.9,0.27,1,99,0
40,0,21,2.87,13.9,0.27,1,99,0
50,0,21,2.68,13.3,0.27,1,99,0
60,0,21,3.38,13.3,0.28,1,99,0
70,0,21,3.9,13.3,0.29,1,99,0
80,0,21,4.3,13.3,0.3,1,99,0
90,0,21,4.72,13.3,0.31,1,99,0
100,0,21,5.33,13.3,0.32,1,99,0
110,0,21,5.73,13.3,0.33,1,99,0
120,0,21,5.58,13.3,0.33,1,99,0
130,0,21,5.94,13.3,0.34,1,99,0
140,0,21,6.16,13.3,0.34,1,99,0
150,0,21,6.55,13.3,0.35,1,99,0
160,0,21,6.98,13.3,0.36,1,99,0
170,0,21,7.28,13.3,0.36,1,99,0
180,0,21,7.53,13.3,0.37,1,99,0
190,0,21,7.71,13.3,0.37,1,99,0
200,0,21,8.05,13.3,0.38,1,99,0
210,0,21,8.6,13.3,0.39,1,99,0
220,0,21,8.84,13.3,0.39,1,99,0
230,0,21,9.39,13.3,0.4,1,99,0
240,0,21,9.72,13.3,0.41,1,99,0
250,0,21,10.12,13.3,0.42,1,99,0
260,0,21,10.42,12.8,0.43,1,99,0
270,0,21,10.36,12.8,0.43,1,99,0
280,0,21,10.27,12.8,0.42,1,99,0
290,0,21,10.79,12.8,0.43,2,99,0
300,0,21,11.25,12.8,0.44,5,99,0
310,0,21,11.58,12.8,0.45,5,99,0
320,0,21,11.73,12.8,0.45,5,99,0
330,0,21,12.34,12.8,0.47,5,99,0
340,0,21,12.47,12.8,0.47,5,99,0
350,0,21,12.89,12.8,0.48,5,98,0
360,0,21,12.89,12.8,0.48,5,95,0
370,0,21,13.05,12.8,0.48,5,90,0
380,0,21,12.65,12.8,0.47,5,97,0
390,0,21,12.77,12.8,0.48,5,97,0
400,0,21,12.83,12.8,0.48,5,95,0
410,0,21,12.8,12.8,0.48,5,94,0
420,0,21,12.83,12.8,0.48,5,93,0
430,0,21,12.71,12.8,0.47,5,96,0
440,0,21,12.68,12.8,0.47,5,97,0
450,0,21,12.65,12.8,0.47,5,98,0
460,0,21,12.53,12.8,0.47,5,99,0
470,0,21,12.77,12.8,0.48,5,96,0
480,0,21,13.01,12.8,0.48,5,89,0
490,0,21,13.41,12.8,0.49,5,83,0
500,0,21,13.41,12.8,0.49,5,83,0
510,0,21,13.56,12.8,0.49,5,85,0
520,0,21,13.72,12.8,0.5,5,79,0
530,0,21,13.59,12.8,0.49,5,79,0
540,0,21,13.2,12.8,0.48,5,85,0
550,0,21,12.83,12.8,0.48,5,88,0
560,0,21,13.23,12.8,0.49,5,89,0
570,0,21,13.23,12.8,0.49,5,81,0
580,0,21,13.11,12.8,0.48,5,83,0
590,0,21,12.95,12.8,0.48,5,88,0
600,0,21,12.8,12.8,0.48,5,91,0
610,0,21,12.41,12.8,0.47,5,97,0
620,0,21,12.31,12.8,0.47,5,99,0
630,0,21,12.34,12.8,0.47,5,99,0
640,0,21,12.25,12.8,0.46,5,99,0
650,0,21,12.19,12.8,0.46,5,99,0
660,0,21,11.86,12.8,0.46,5,99,0
670,0,21,12.71,12.8,0.47,5,99,0
680,0,21,12.47,12.8,0.47,5,99,0
690,0,21,12.34,12.8,0.47,5,93,0
700,0,21,12.37,12.8,0.47,5,99,0
710,0,21,12.28,12.8,0.47,5,99,0
720,0,21,12.13,12.8,0.46,5,99,0
730,0,21,11.8,12.8,0.46,5,99,0
740,0,21,11.89,12.8,0.46,5,99,0
750,0,21,11.7,12.8,0.45,5,99,0
760,0,21,11.64,12.8,0.45,5,99,0
770,0,21,11.64,12.8,0.45,5,99,0
780,0,21,11.98,12.8,0.46,5,99,0
790,0,21,11.64,12.8,0.45,5,99,0
800,0,21,12.13,12.8,0.46,5,99,0
810,0,21,12.19,12.8,0.46,5,99,0
820,0,21,11.73,12.8,0.45,5,99,0
830,0,21,11.0,12.8,0.44,5,99,0
840,0,21,9.39,12.8,0.41,4,99,0
850,0,21,8.5,12.8,0.39,4,99,0
860,0,21,8.69,12.8,0.39,4,99,0
870,0,21,7.8,12.8,0.37,4,99,0
880,0,21,6.52,12.8,0.35,4,99,0
890,0,21,6.31,12.8,0.34,4,99,0
900,0,21,6.68,12.8,0.35,4,99,0
910,0,21,6.64,12.8,0.35,4,99,0
920,0,21,5.76,12.8,0.33,4,99,0
930,0,21,6.22,12.8,0.34,3,99,0
940,0,21,6.8,12.8,0.35,3,99,0
950,0,21,6.89,12.8,0.35,3,99,0
960,0,21,7.13,12.8,0.36,3,99,0
970,0,21,6.64,12.8,0.35,3,99,0
980,0,21,5.24,12.8,0.32,3,99,0
990,0,21,3.84,12.8,0.29,2,99,0
1000,0,21,3.9,12.8,0.29,2,99,0
1010,0,21,5.18,12.8,0.32,2,99,0
1020,0,21,5.39,12.8,0.32,2,99,0
1030,0,21,5.09,12.8,0.32,2,99,0
1040,0,21,5.21,12.8,0.32,1,99,0
1050,0,21,5.24,12.8,0.32,1,99,0
1060,0,21,3.99,12.8,0.3,1,99,0
1070,0,21,3.05,12.8,0.27,1,99,0
1080,0,21,2.9,12.8,0.27,1,99,0
1090,0,21,2.83,12.8,0.27,1,99,0
1100,0,21,3.26,12.8,0.28,1,99,0
1110,0,21,3.96,12.8,0.29,1,99,0
1120,0,21,4.24,12.8,0.3,1,99,0
1130,0,21,2.62,12.8,0.27,1,99,0
1140,0,21,1.25,12.8,0.24,1,99,0
1150,0,21,1.01,12.8,0.23,1,99,0
1160,0,21,0.0,12.8,0.22,0,99,0
1170,0,21,0.0,12.8,0.22,0,99,0
1180,0,21,0.0,12.8,0.22,0,99,0
1190,0,21,0.0,13.3,0.22,0,99,0
1200,0,21,0.0,13.3,0.22,0,99,0
1210,0,21,0.0,13.3,0.22,0,99,0
