time_s,deco_stop,o2,depth_m,temp_c,avg_ppo2,tts_min,ndl_min,he
10,0,21,0.0,24.4,0.21,0,0,0
20,0,21,3.47,24.4,0.28,1,99,0
30,0,21,3.47,24.4,0.28,1,99,0
40,0,21,6.64,24.4,0.35,1,99,0
50,0,21,6.68,24.4,0.35,1,99,0
60,0,21,8.35,23.9,0.37,1,99,0
70,0,21,10.06,23.9,0.42,1,99,0
80,0,21,10.06,23.9,0.42,1,99,0
90,0,21,13.2,23.9,0.48,5,91,0
100,0,21,13.2,23.9,0.48,5,91,0
110,0,21,16.52,23.9,0.55,5,54,0
120,0,21,16.49,23.9,0.55,5,54,0
130,0,21,19.32,23.9,0.6,5,53,0
140,0,21,19.39,23.9,0.61,5,36,0
150,0,21,22.8,23.9,0.68,5,34,0
160,0,21,22.86,23.9,0.68,6,23,0
170,0,21,22.86,23.9,0.68,6,23,0
180,0,21,26.12,23.9,0.75,6,17,0
190,0,21,26.09,23.9,0.75,6,17,0
200,0,21,28.47,23.9,0.8,6,13,0
210,0,21,31.18,23.9,0.86,6,13,0
220,0,21,31.39,23.3,0.86,9,10,0
230,0,21,33.5,23.3,0.9,9,10,0
240,0,21,33.28,23.3,0.9,9,9,0
250,0,21,38.1,23.3,1.0,9,7,0
260,0,21,40.9,23.3,1.06,10,5,0
270,0,21,45.63,23.3,1.16,10,4,0
280,0,21,48.68,23.3,1.22,10,3,0
290,0,21,53.58,23.3,1.32,11,2,0
300,0,21,57.21,23.3,1.4,11,1,0
310,0,21,61.33,23.3,1.48,11,1,0
320,0,21,65.75,23.3,1.57,12,0,0
330,0,21,69.98,23.3,1.66,12,0,0
340,10,21,73.67,23.3,1.73,15,2,0
350,20,21,77.88,23.3,1.82,15,1,0
360,40,21,81.56,23.3,1.9,17,1,0
370,30,21,82.05,23.3,1.91,19,1,0
380,30,21,82.66,23.3,1.92,19,1,0
390,40,21,82.94,23.3,1.93,19,1,0
400,40,21,82.91,23.3,1.93,21,1,0
410,40,21,82.91,23.3,1.93,21,1,0
420,50,21,82.91,23.3,1.93,21,1,0
430,40,21,82.91,23.3,1.93,21,1,0
440,40,21,82.91,23.3,1.93,22,1,0
450,40,21,82.91,23.3,1.93,23,1,0
460,50,21,82.88,23.3,1.93,24,1,0
470,50,21,82.88,23.3,1.93,24,1,0
480,50,21,82.88,23.3,1.93,25,1,0
490,50,21,82.88,23.3,1.93,26,1,0
500,60,21,82.88,23.3,1.93,26,1,0
510,60,21,82.88,23.3,1.93,27,1,0
520,50,21,82.88,23.3,1.93,28,1,0
530,50,21,82.84,23.3,1.93,28,1,0
540,60,21,82.84,23.3,1.93,31,1,0
550,60,21,82.84,23.3,1.93,31,1,0
560,60,21,82.84,23.3,1.93,32,1,0
570,60,21,82.84,23.3,1.93,33,1,0
580,70,21,82.84,23.3,1.93,35,1,0
590,70,21,82.84,23.3,1.93,36,1,0
600,70,21,82.84,23.3,1.93,36,1,0
610,60,21,82.84,22.8,1.93,38,1,0
620,60,21,82.84,23.3,1.93,38,1,0
630,60,21,82.84,23.3,1.93,40,1,0
640,70,21,82.81,22.8,1.93,41,1,0
650,70,21,82.81,22.8,1.93,43,1,0
660,70,21,82.81,22.8,1.93,43,1,0
670,70,21,82.81,22.8,1.93,45,1,0
680,70,21,82.81,22.8,1.93,46,1,0
690,80,21,83.33,22.8,1.94,48,1,0
700,80,21,83.33,22.8,1.94,49,1,0
710,80,21,83.33,22.8,1.94,50,1,0
720,80,21,83.33,22.8,1.94,51,1,0
730,70,21,83.33,22.8,1.94,51,1,0
740,70,21,83.33,22.8,1.94,53,1,0
750,70,21,83.33,22.8,1.94,55,2,0
760,80,21,83.33,22.8,1.94,55,1,0
770,80,21,83.33,22.8,1.94,57,1,0
780,80,21,83.33,22.8,1.94,59,1,0
790,80,21,79.25,22.8,1.87,59,1,0
800,80,21,75.5,22.8,1.79,55,1,0
810,80,21,73.85,22.8,1.74,54,1,0
820,70,21,68.52,22.8,1.64,52,1,0
830,70,21,66.42,22.8,1.6,52,1,0
840,70,21,62.76,22.8,1.52,49,1,0
850,70,21,59.25,22.8,1.44,49,1,0
860,70,21,56.42,22.8,1.38,47,1,0
870,70,21,52.3,22.8,1.29,47,1,0
880,80,21,49.26,22.8,1.24,45,1,0
890,80,21,45.63,22.8,1.17,45,1,0
900,80,21,42.25,22.8,1.09,44,1,0
910,80,21,38.37,22.8,1.01,44,1,0
920,80,21,35.2,22.8,0.95,44,1,0
930,90,21,32.25,22.8,0.88,44,1,0
940,90,21,28.77,22.8,0.81,43,1,0
950,90,21,25.15,22.8,0.74,43,1,0
960,90,21,21.7,22.8,0.66,43,1,0
970,80,21,17.98,22.8,0.59,41,1,0
980,80,21,14.87,22.8,0.52,42,1,0
990,80,21,11.31,22.8,0.45,41,1,0
1000,70,21,8.11,22.8,0.38,41,1,0
1010,70,21,4.66,22.8,0.31,40,1,0
1020,70,21,1.28,22.2,0.24,39,1,0
1030,60,21,0.0,22.2,0.21,39,2,0
