time_s,deco_stop,o2,depth_m,temp_c,avg_ppo2,tts_min,ndl_min,he
10,0,21,1.13,13.9,0.23,1,99,0
20,0,21,2.13,13.9,0.26,1,99,0
30,0,21,3.26,13.9,0.28,1,99,0
40,0,21,3.2,13.9,0.28,1,99,0
50,0,21,3.23,13.9,0.28,1,99,0
60,0,21,2.9,13.9,0.27,1,99,0
70,0,21,2.99,13.9,0.27,1,99,0
80,0,21,3.02,13.9,0.27,1,99,0
90,0,21,3.02,13.9,0.27,1,99,0
100,0,21,2.87,13.9,0.27,1,99,0
110,0,21,3.08,13.9,0.27,1,99,0
120,0,21,3.6,13.3,0.28,1,99,0
130,0,21,3.44,13.3,0.28,1,99,0
140,0,21,3.84,13.3,0.29,1,99,0
150,0,21,3.72,13.3,0.29,1,99,0
160,0,21,4.15,13.3,0.3,1,99,0
170,0,21,4.36,13.3,0.3,1,99,0
180,0,21,4.15,13.3,0.3,1,99,0
190,0,21,4.02,13.3,0.29,1,99,0
200,0,21,3.84,13.3,0.29,1,99,0
210,0,21,2.8,13.3,0.27,1,99,0
220,0,21,0.0,13.3,0.22,1,99,0
230,0,21,0.0,13.3,0.22,0,99,0
240,0,21,0.0,13.3,0.22,0,99,0
250,0,21,0.0,13.3,0.22,0,99,0
260,0,21,0.0,13.3,0.22,0,99,0
270,0,21,0.0,13.3,0.22,0,99,0
