time_s,deco_stop,o2,depth_m,temp_c,avg_ppo2,tts_min,ndl_min,he
10,0,21,1.3,24.0,0.24,1,0,0
20,0,21,2.5,24.0,0.26,1,99,0
30,0,21,3.5,24.0,0.28,1,99,0
40,0,21,3.6,24.0,0.28,1,99,0
50,0,21,4.8,24.0,0.31,1,99,0
60,0,21,5.4,24.0,0.32,1,99,0
70,0,21,5.9,24.0,0.33,1,99,0
80,0,21,7.1,24.0,0.35,1,99,0
90,0,21,8.5,24.0,0.38,1,99,0
100,0,21,9.9,24.0,0.41,1,99,0
110,0,21,11.4,24.0,0.44,5,99,0
120,0,21,13.0,24.0,0.48,5,99,0
130,0,21,14.9,24.0,0.52,5,73,0
140,0,21,16.5,24.0,0.55,5,53,0
150,0,21,18.6,24.0,0.6,5,39,0
160,0,21,20.4,24.0,0.63,5,32,0
170,0,21,22.6,24.0,0.68,6,24,0
180,0,21,24.3,24.0,0.71,6,20,0
190,0,21,25.9,24.0,0.75,6,18,0
200,0,21,26.7,24.0,0.76,6,16,0
210,0,21,28.3,24.0,0.8,6,14,0
220,0,21,29.3,24.0,0.82,6,14,0
230,0,21,29.9,24.0,0.83,6,12,0
240,0,21,29.9,24.0,0.83,6,11,0
250,0,21,29.8,24.0,0.83,6,11,0
260,0,21,29.6,24.0,0.83,6,11,0
270,0,21,29.2,24.0,0.81,6,11,0
280,0,21,29.6,24.0,0.82,6,11,0
290,0,21,30.0,24.0,0.83,6,11,0
300,0,21,30.2,24.0,0.84,6,10,0
310,0,21,30.5,24.0,0.84,6,10,0
320,0,21,31.3,24.0,0.86,7,9,0
330,0,21,31.5,24.0,0.86,7,9,0
340,0,21,31.6,24.0,0.86,7,9,0
350,0,21,30.9,24.0,0.85,7,9,0
360,0,21,30.5,24.0,0.85,6,9,0
370,0,21,30.1,24.0,0.83,6,9,0
380,0,21,29.8,24.0,0.83,6,9,0
390,0,21,29.6,24.0,0.82,6,9,0
400,0,21,29.8,24.0,0.83,6,9,0
410,0,21,30.7,24.0,0.85,6,9,0
420,0,21,31.0,24.0,0.85,7,7,0
430,0,21,31.0,24.0,0.85,7,7,0
440,0,21,30.4,24.0,0.84,6,8,0
450,0,21,30.0,24.0,0.83,6,8,0
460,0,21,29.5,24.0,0.82,6,8,0
470,0,21,29.7,24.0,0.83,6,8,0
480,0,21,30.0,24.0,0.83,6,7,0
490,0,21,30.6,24.0,0.84,6,7,0
500,0,21,30.5,24.0,0.84,7,6,0
510,0,21,30.0,24.0,0.83,6,6,0
520,0,21,29.7,24.0,0.83,6,7,0
530,0,21,30.1,24.0,0.83,6,7,0
540,0,21,30.9,24.0,0.85,7,6,0
550,0,21,30.6,24.0,0.84,7,5,0
560,0,21,29.8,24.0,0.83,6,6,0
570,0,21,29.9,24.0,0.83,6,6,0
580,0,21,30.0,24.0,0.83,6,5,0
590,0,21,30.8,24.0,0.85,6,5,0
600,0,21,31.2,24.0,0.86,7,4,0
610,0,21,29.3,24.0,0.82,7,5,0
620,0,21,28.7,24.0,0.8,6,6,0
630,0,21,29.3,24.0,0.82,6,5,0
640,0,21,30.3,24.0,0.84,6,4,0
650,0,21,30.6,24.0,0.85,7,4,0
660,0,21,30.5,24.0,0.84,6,4,0
670,0,21,30.7,24.0,0.85,7,4,0
680,0,21,30.9,24.0,0.85,6,4,0
690,0,21,31.2,24.0,0.86,7,3,0
700,0,21,31.4,24.0,0.86,7,3,0
710,0,21,31.0,24.0,0.85,7,3,0
720,0,21,31.1,24.0,0.85,7,3,0
730,0,21,31.1,24.0,0.86,7,2,0
740,0,21,30.5,24.0,0.84,7,2,0
750,0,21,30.0,24.0,0.83,6,2,0
760,0,21,29.2,24.0,0.81,6,2,0
770,0,21,28.5,24.0,0.8,6,3,0
780,0,21,28.5,24.0,0.8,6,3,0
790,0,21,27.9,24.0,0.79,6,3,0
800,0,21,26.7,24.0,0.76,6,3,0
810,0,21,27.0,24.0,0.77,6,3,0
820,0,21,26.4,24.0,0.76,6,3,0
830,0,21,26.5,24.0,0.76,6,3,0
840,0,21,27.2,24.0,0.78,6,3,0
850,0,21,26.7,24.0,0.77,6,2,0
860,0,21,25.0,24.0,0.73,6,3,0
870,0,21,23.0,24.0,0.69,6,5,0
880,0,21,22.7,24.0,0.68,6,6,0
890,0,21,22.6,24.0,0.68,6,6,0
900,0,21,22.2,24.0,0.67,6,6,0
910,0,21,22.4,24.0,0.67,6,6,0
920,0,21,20.5,24.0,0.64,6,7,0
930,0,21,17.3,24.0,0.57,5,18,0
940,0,21,15.6,24.0,0.53,5,30,0
950,0,21,13.9,24.0,0.5,5,46,0
960,0,21,12.3,24.0,0.47,5,68,0
970,0,21,10.0,24.0,0.42,4,99,0
980,0,21,7.4,24.0,0.37,4,99,0
990,0,21,4.9,24.0,0.31,4,99,0
